RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati,,
1262,1573,Pravilnik o nostrifikaciji projekata,Pravilnik stupa na snagu 5. 10. 1999.,05.10.1999,,1,,
1269,1580,Pravilnik o naéçinu obavljanja inspekcijskog nadzora graé?evne inspekcije,Pravilnik stupa na snagu 2. 2. 2000.,02.02.2000,,1,,
1273,1588,Tehniéçki propis za dimnjake u graé?evinama,Tehniéçki propis stupa na snagu 1. 3. 2007.,01.03.2007,,1,,
1276,1591,Tehniéçki propis za sustave zaè≠tite od djelovanja munje na graé?evinama,Tehniéçki propis stupa na snagu 30. 9. 2008. ,30.09.2008,,1,,
1277,1592,Tehniéçki propis za prozore i vrata,Tehniéçki propis stupa na snagu 29. 6. 2006.,29.06.2006,,1,,
1279,1594,( * djelomiéçno u primjeni) Tehniéçki propis o racionalnoj uporabi energije i toplinskoj zaè≠titi u zgradama,"Tehniéçki propis je prestao vaè?iti 14. VIII. 2014. stupanjem na snagu Tehniéçkog propisa o racionalnoj uporabi energije i toplinskoj zaè≠titi u zgradama (Nar. novine, br. 97/14).<br/>
Prilog B Tehniéçkog propisa o racionalnoj uporabi energije i toplinskoj zaè≠titi u zgradama (Narodne novine, br. 110/08, 89/09, 79/13 i 90/13-ispr.) u dijelu koji se odnosi na popis tehniéçkih specifikacija koje upué?uju na zahtjeve koje, u svezi s toplinskom zaè≠titom, trebaju ispuniti toplinsko-izolacijski graé?evni proizvodi za zgrade primjenjuje se do donoè≠enja posebnog propisa kojim é?e se urediti to podruéçje.",,,1,,
1280,1595,"Tehniéçki propis o sustavima ventilacije, djelomiéçne klimatizacije i klimatizacije zgrada","Tehniéçki propis stupa na snagu 1. 3. 2007.<br />
Prestaju vaè?iti odredbe éçlanka 118. i éçlanka 135. Pravilnika o zaè≠titi na radu za radne i pomoé?ne prostore i prostorije (Narodne novine, br. 6/84 i 42/05).",01.03.2007,,1,,
1281,1596,Tehniéçki propis o sustavima grijanja i hlaé?enja zgrada,Tehniéçki propis stupa na snagu 31. 3. 2009.,31.03.2009,,1,,
1284,1599,"( * djelomiéçno u primjeni) Pravilnik o ocjenjivanju sukladnosti, ispravama o sukladnosti i oznaéçavanju graé?evnih proizvoda","12. XII. 2019. Pravilnik prestaje vaè?iti stupanjem na snagu Pravilnika o tijelima, dokumentaciji i postupcima trè?iè≠ta graé?evnih proizvoda (Nar. novine, br. 118/19).",,,1,,
1286,1601,Pravilnik o nadzoru graé?evnih proizvoda,Pravilnik stupa na snagu 11. 10. 2008.,11.10.2008,,1,,
1300,1615,Pravilnik o Tehniéçkim propisima za pregled i ispitivanje nosivih éçeliéçnih konstrukcija,"Pravilnik stupa na snagu 1. 1. 2009., osim odredbe Priloga ""H"", koje stupaju na snagu od dana stupanja na snagu svih hrvatskih norma s nacionalnim specifiéçnostima danim nacionalno odreé?enim parametrima u okviru pojedine norme.",01.01.2009,,1,,
1302,1617,Pravilnik o Privremenim tehniéçkim propisima za graé?enje u seizmiéçkim podruéçjima,"Propis stupa na snagu 1.1. 2009. osim odredbi Priloga ""H"", koje stupaju na snagu od dana stupanja na snagu svih hrvatskih norma s nacionalnim specifiéçnostima danim nacionalno odreé?enim parametrima u okviru pojedine norme, na koje upué?uje taj Prilog.",01.01.2009,,1,,
1318,1633,Pravilnik o tehniéçkim normativima za elektriéçne instalacije niskog napona,"31. 12. 2010. prestaju se upotrebljavati priznata tehniéçka pravila te priznate tehniéçke specifikacije na primjenu kojih ta priznata tehniéçka pravila upué?uju sadrè?ana u ovom Pravilniku. Vidi: é?l. 37. Tehniéçkog propisa za niskonaponske elektriéçne instalacije (Nar. novine, br. 5/10)",,,1,,
1323,1638,Uredba o osnivanju Hrvatskog zavoda za norme (HZN),Uredba stupa na snagu 13. 11. 2004.,13.11.2004,,1,,
1324,1639,"Pravilnik o hrvatskim normama (HRN EN ISO 8402, HRN EN ISO 9000-1, HRN ISO 9000-2, HRN EN ISO 9001, HRN EN ISO 9002, HRN EN ISO 9003, HRN EN 45001, HRN ISO 10012-1)","Pravilnik stupa na snagu 28. 3. 1996.<br/>
Prestaju vaè?iti:<br/>
- Kvaliteta. Rjeéçnik JUS ISO 8402,<br/>
- Standardi za upravljanje kvalitetom osiguranje kvalitete. Uputa za izbor i upotrebu JUS ISO 9000,<br/>
- Sustavi kvalitete. Model osiguranja kvalitete u projektiranju/razvoju, proizvodnji, ugradnji i servisiranju JUS ISO 9001,<br/>
- Sustavi kvalitete. Model osiguranja kvalitete u proizvodnji i ugradnji JUS ISO 9002,<br/>
- Sustavi kvalitete. Model osiguranja kvalitete u zavrè≠noj kontroli i ispitivanju JUS ISO 9003,<br/>
doneseni Pravilnikom o jugoslavenskim standardima za osiguranje kvalitete (Narodne novine, br. 53/91).",28.03.1996,,1,,
1325,1640,"Pravilnik o izradbi, izdavanju i objavi hrvatskih normi",Pravilnik stupa na snagu 24. 7. 1997.,24.07.1997,,1,,
1326,1641,Pravilnik o naéçinu osnivanja i rada tehniéçkih odbora,Pravilnik stupa na snagu 27. 6. 1998.,27.06.1998,,1,,
1329,1646,Uredba o osnivanju Hrvatske akreditacijske agencije (HAA),Uredba stupa na snagu 23. 11. 2004.,23.11.2004,,1,,
1330,1647,Pravilnik o utvré?ivanju visine i naéçina plaé?anja naknada za pokrié?e troè≠kova u postupku ovlaè≠é?ivanja (akreditacije),Pravilnik stupa na snagu 24. 5. 2001.,24.05.2001,,1,,
1331,1648,Pravilnik o opé?im uvjetima koje moraju zadovoljiti ovlaè≠teni laboratoriji i ovlaè≠tene pravne osobe za provedbu potvré?ivanja i naéçinu provedbe postupka ovlaè≠é?ivanja,Pravilnik stupa na snagu 20. 6. 1998.,20.06.1998,,1,,
1340,1657,Uredba o osnivanju Hrvatskog mjeriteljskog instituta,Uredba stupa na snagu 12. 7. 2008.,12.07.2008,,1,,
1342,1659,Naputak za postavljanje zaè≠titnih è?igova u obliku plastiéçne plombe na pojedinim vrstama mjerila,Naputak stupa na snagu 16. 1. 2003.,16.01.2003,,1,,
1344,1661,Naputak za rad ovlaè≠tenog mjeritelja kod ovjeravanja mjerila,Naputak stupa na snagu 30. 1. 2006.,30.01.2006,,1,,
1345,1663,Naredba o mjerilima nad kojima se obavlja mjeriteljski nadzor,"Naredba stupa na snagu 25. 6. 2003.<br/>
Prestaje vaè?iti Naredba o vrstama mjerila za koje se provodi mjeriteljski nadzor (Narodne novine, br. 35/01 i 9/02).",25.06.2003,,1,,
1358,1677,Pravilnik o naéçinu na koji se provodi tipno ispitivanje mjerila,"Pravilnik stupa na snagu 20. 7. 2002.<br/>
Prestaje vaè?iti Pravilnik o naéçinu na koji se provodi tipno ispitivanje mjerila (Narodne novine, br. 93/96).",20.07.2002,,1,,
1359,1678,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za mjerila vremena za periodiéçno registriranje srednje vrijednosti vrè≠ne elektriéçne snage,"Pravilnik stupa na snagu 7. 2. 2006.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim zahtjevima za uklopne satove za upravljanje tarifom i potroè≠njom (Narodne novine, br. 42/95).",07.02.2006,,1,,
1360,1679,Pravilnik o mjeriteljskim zahtjevima za fotoelektriéçne luksometre mjerila osvjetljenja,Pravilnik stupa na snagu 2. 2. 2002.,02.02.2002,,1,,
1361,1680,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za mjerne transformatore u mjernim grupama za mjerenje elektriéçne energije,"Pravilnik stupa na snagu 7. 2. 2006.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim zahtjevima za mjerne transformatore brojila elektriéçne energije (Narodne novine, br. 17/02).",07.02.2006,,1,,
1362,1681,Pravilnik o mjeriteljskim zahtjevima za laktodenzimetre,Pravilnik stupa na snagu 2. 2. 2002.,02.02.2002,,1,,
1363,1682,Pravilnik o mjeriteljskim zahtjevima za butirometre,Pravilnik stupa na snagu 2. 2. 2002.,02.02.2002,,1,,
1367,1686,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za mjerila debljine,"Pravilnik stupa na snagu 9. 8. 2005.<br/>
Prestaje vaè?iti Pravilnik o metroloè≠kim uvjetima za mjerila debljine (Narodne novine, br. 53/91).

",09.08.2005,,1,,
1369,1688,Pravilnik o mjeriteljskim zahtjevima za mjerila duljine za mjerenje razine tekué?ine odnosno visine praznog prostora u spremnicima koji se upotrebljavaju za mjerenje obujma,"Pravilnik stupa na snagu 30. 10. 1997.<br/>
Prestaje vaè?iti Pravilnik o metroloè≠kim uvjetima za mjerila duljine koja sluè?e za mjerenje visine stupca tekué?ine odnosno visine praznog prostora u skladiè≠nim transportnim posudama (Narodne novine, br. 53/91). ",30.10.1997,,1,,
1372,1691,Pravilnik o mjeriteljskim zahtjevima za sustav tarifiranja telefonskih centrala,"Pravilnik stupa na snagu 27. 1. 2000.<br/>
Prestaje vaè?iti Pravilnik o metroloè≠kim uvjetima za davaéçe impulsa i uklopnih satova è≠to se upotrebljavaju u telefonskom i telegrafskom saobraé?aju za postavljanje tarife (Narodne novine, br. 53/91).",27.01.2000,,1,,
1374,1693,Naputak za rad djelatnika Drè?avnog zavoda za mjeriteljstvo u postupku ovjeravanja medicinskih humanih staklenih termometara s tekué?inom,Naputak stupa na snagu 7. 5. 2005.,07.05.2005,,1,,
1376,1695,Naputak za rad djelatnika Drè?avnog zavoda za mjeriteljstvo u postupku ovjeravanja medicinskih digitalnih elektriéçnih termometara za mjerenje najviè≠e temperature ljudskoga tijela,Naputak stupa na snagu 7. 5. 2005.,07.05.2005,,1,,
1378,1697,"Pravilnik o mjeriteljskim zahtjevima za automobilske cisterne, vagonske cisterne i prijenosne cisterne",Pravilnik stupa na snagu 27. 4. 2001.,27.04.2001,,1,,
1379,1698,Pravilnik o mjeriteljskim zahtjevima za vodoravne cilindriéçne spremnike,Pravilnik stupa na snagu 27. 4. 2001.,27.04.2001,,1,,
1380,1699,Pravilnik o mjeriteljskim zahtjevima za mjerila è≠irine i nadviè≠enja kolosijeka,"Pravilnik stupa na snagu 22. 12. 2001.<br/>
Prestaju vaè?iti odredbe Pravilnika o metroloè≠kim uvjetima za mjerila è≠irine i nadviè≠enja kolosijeka (Sl. list SFRJ br. 24/89 i Narodne novine, br. 53/91).",22.12.2001,,1,,
1381,1700,Pravilnik o mjeriteljskim zahtjevima za ureé?aje za ispitivanje mjerila è≠irine i nadviè≠enja kolosijeka,"Pravilnik stupa na snagu 4. 4. 2002.<br/>
Prestaje vaè?iti Pravilnik o metroloè≠kim uvjetima za radne etalone É?? ureé?aje za pregled mjerila è≠irine i nadviè≠enja kolosijeka (Sl. list SFRJ, br. 24/89 i Narodne novine, br. 53/91).",04.04.2002,,1,,
1385,1704,Pravilnik o mjeriteljskim zahtjevima za kontrolne ureé?aje s valjcima za ispitivanje tahografa i taksometara,Pravilnik stupa na snagu 17. 7. 2002.,17.07.2002,,1,,
1386,1705,Pravilnik o mjeriteljskim zahtjevima za kontrolne ureé?aje kojima se ispituju tahografi i taksometri,Pravilnik stupa na snagu 17. 7. 2002.,17.07.2002,,1,,
1387,1706,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za mjerila otpora uzemljenja éçije je naéçelo rada kompenzacijska metoda,"Pravilnik stupa na snagu 1. 6. 2006.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim zahtjevima za mjerila otpora uzemljenja éçije je naéçelo rada kompenzacijska metoda (Narodne novine, br. 81/02).",01.06.2006,,1,,
1388,1707,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za visokofrekventna mjerila otpora uzemljenja te za mjerila otpora uzemljenja éçije je naéçelo rada mjerenje napona i struje (U-I metoda),"Pravilnik stupa na snagu 1. 6. 2006.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim zahtjevima za mjerila otpora uzemljenja éçije je naéçelo rada mjerenje napona i struje (U-I metoda) i za visoko??frekventna mjerila otpora uzemljenja (Narodne novine, br. 81/02).",01.06.2006,,1,,
1389,1708,Pravilnik o mjeriteljskim zahtjevima za mjerila kojima se mjeri otpor zamke (petlje),Pravilnik stupa na snagu 17. 7. 2002.,17.07.2002,,1,,
1390,1709,Pravilnik o mjeriteljskim zahtjevima za mjerila otpora izolacije,Pravilnik stupa na snagu 17. 7. 2002.,17.07.2002,,1,,
1392,1711,Pravilnik o mjeriteljskim zahtjevima za prijamnike tereta cestovnih i è?eljezniéçkih vaga,"Pravilnik stupa na snagu 26. 2. 2003.<br/>
Prestaje vaè?iti Pravilnik o metroloè≠kim uvjetima za mostove cestovnih i traéçniéçkih vaga (Sluè?beni list, br. 31/87 i Narodne novine, br. 53/91).",26.02.2003,,1,,
1394,1713,Pravilnik o mjeriteljskim zahtjevima za ureé?aje za ispitivanje korektora,Pravilnik stupa na snagu 6. 9. 2003.,06.09.2003,,1,,
1395,1714,Pravilnik o mjeriteljskim zahtjevima za ureé?aje za ispitivanje plinomjera,Pravilnik stupa na snagu 6. 9. 2003.,06.09.2003,,1,,
1396,1715,Pravilnik o mjeriteljskim zahtjevima za automatska mjerila razine tekué?ine u nepokretnim spremnicima,Pravilnik stupa na snagu 3. 3. 2005.,03.03.2005,,1,,
1397,1716,"Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za statiéçka brojila djelatne elektriéçne energije razreda toéçnosti 0,2 S i 0,5 S","Pravilnik stupa na snagu 13. 7. 2005.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za statiéçka brojila djelatne elektriéçne energije razreda toéçnosti 0,2 S i 0,5 S (Narodne novine, br. 47/05).",13.07.2005,,1,,
1398,1717,"Naputak o ispitivanju statiéçkih brojila djelatne elektriéçne energije razreda toéçnosti 0,2 S i 0,5 S",Naputak stupa na snagu 7. 2. 2006.,07.02.2006,,1,,
1399,1718,Pravilnik o mjeriteljskim i tehniéçkim zahtjevima za statiéçka brojila jalove elektriéçne energije razreda toéçnosti 2 i 3,"Pravilnik stupa na snagu 13. 7. 2005.<br/>
Prestaje vaè?iti Pravilnik o mjeriteljskim zahtjevima za statiéçka brojila jalove elektriéçne energije razreda toéçnosti 2 i 3 (Narodne novine, br. 47/05).",13.07.2005,,1,,
1400,1719,Naputak o ispitivanju statiéçkih brojila jalove elektriéçne energije razreda toéçnosti 2 i 3,Naputak stupa na snagu 7. 2. 2006.,07.02.2006,,1,,
1402,1721,Naputak za ispitivanje pri ovjeravanju ureé?aja za mjerenje krvnog tlaka,Naputak stupa na snagu 30. 1. 2006.,30.01.2006,,1,,
1403,1722,Naputak za ispitivanje pri ovjeravanju tlakomjera za gume,Naputak stupa na snagu 30. 1. 2006.,30.01.2006,,1,,
1404,1723,"Pravilnik o mjeriteljskim zahtjevima za manometre, vakuumometre i manovakuumometre te elektronske mjerne pretvornike tlaka","Pravilnik stupa na snagu 3. 5. 2005.<br/>
Prestaju vaè?iti odredbe Priloga br. 1 (Tehniéçki i mjeriteljski zahtjevi i postupak ispitivanja i ovjeravanja manometara, vakuumometara, manovakuumometara i mjernih pretvornika i tlaka) Pravilnika o uvjetima ovlaè≠é?ivanja pravnih osoba i servisa, o postupku ispitivanja i ovjeravanja, o tehniéçkim i mjeriteljskim zahtjevima za manometre, vakuumometre i manovakuumometre, mjerne pretvornike tlaka, ureé?aje za mjerenje krvnog tlaka i tlakomjere za gume (Narodne novine, br. 142/04).",03.05.2005,,1,,
1405,1724,"Naputak za ispitivanje pri ovjeravanju manometara, vakuumometara, manovakuumometara i mjernih pretvornika tlaka",Naputak stupa na snagu 30. 1. 2006.,30.01.2006,,1,,
1406,1725,"Naputak za umjeravanje radnih etalona - manometara, vakuumometara, manovakuumometara i mjernih pretvornika tlaka",Naputak stupa na snagu 30. 1. 2006.,30.01.2006,,1,,
1446,1765,Pravilnik o uvjetima i postupku ovlaè≠é?ivanja referentnih laboratorija u podruéçju mjeriteljstva u kemiji,Pravilnik stupa na snagu 18. 3.2008.,18.03.2008,,1,,
1451,1789,Pravilnik o uvjetima koje mora ispunjavati ustanova koja obavlja tehniéçki nadzor,Ovaj pravilnik stupa na snagu 2. 11. 1996.,02.11.1996,,1,,
1454,1793,"Naredba o visini i naéçinu plaé?anja naknade za pokrié?e troè≠kova postupaka ocjenjivanja sukladnosti opreme, zaè≠titnih sustava i komponenata namijenjenih eksplozivnoj atmosferi plinova, para, maglica i praè≠ina",Naredba stupa na snagu 1. 3. 2002.,01.03.2002,,1,,
1490,1832,Pravilnik o temeljnim zahtjevima za penjalice za betonske stupove za vodove i o uvjetima kojima moraju udovoljavati pravne osobe ovlaè≠tene za potvré?ivanje (certificiranje) tih penjalica,Ovaj pravilnik stupa na snagu 11. 10. 2002.,11.10.2002,,1,,
1504,1847,Pravilnik o tehniéçkim mjerama za ureé?aje sa svjetleé?im cijevima,"31. XII. 2010. prestaju se upotrebljavati priznata tehniéçka pravila te priznate tehniéçke specifikacije na primjenu kojih ta priznata tehniéçka pravila upué?uju sadrè?ana u ovom Pravilniku. Vidi: é?l. 37. Tehniéçkog propisa za niskonaponske elektriéçne instalacije (Nar. novine, br. 5/10)",,,1,,
1529,1872,Naredba o visini i naéçinu plaé?anja naknada za pokrié?e troè≠kova obveznog ispitivanja i potvré?ivanju/certifikaciji proizvoda koji prouzrokuju radiofrekvencijske smetnje,Naredba stupa na snagu 21. 12. 2002.,21.12.2002,,1,,
1536,1885,"Naredba o visini i naéçinu plaé?anja naknada za pokrié?e troè≠kova tehniéçkog nadzora elektriéçnih postrojenja, instalacija i ureé?aja namijenjenih za rad u prostorima ugroè?enim eksplozivnom atmosferom",Naredba stupa na snagu 19. 2. 2002.,19.02.2002,,1,,
1551,1904,Naredba o visini i naéçinu plaé?anja naknada za pokrié?e troè≠kova obveznog ispitivanja i potvré?ivanja (certificiranja) elemenata tipnih graé?evinskih konstrukcija na otpornost prema poè?aru,Naredba stupa na snagu 17. 10. 2001.,17.10.2001,,1,,
1552,1905,Naputak o postupku ispitivanja i o klasama otpornosti prema poè?aru zaklopki za zaè≠titu od poè?ara u ventilacijskim i klimatizacijskim kanalima,Naputak stupa na snagu 19. 2. 1994.,19.02.1994,,1,,
1553,1917,"Naredba o odreé?ivanju proizvoda automobilske i gumarske industrije koji se mogu stavljati u promet samo ako su opskrbljeni jamstvenim listom, tehniéçkom uputom i popisom servisa, te o najmanjem trajanju jamstvenog roka i roka osiguranog servisiranja za te proizvode",Naredba stupa na snagu 14. 3. 2003. ,14.03.2003,,1,,
1565,1939,Pravilnik o obveznom potvré?ivanju sukladnosti upotrebljavanih guma iz uvoza za motorna i prikljuéçna cestovna vozila i o uvjetima za ovlaè≠é?ivanje pravnih osoba za obavljanje ispitivanja u postupku navedenog potvré?ivanja,Pravilnik stupa na snagu 31. 5. 1997.,31.05.1997,,1,,
1579,1956,Naredba o homologaciji zaè≠titnih kaciga i njihovih vidnika za vozaéçe i suvozaéçe motocikla i mopeda (prema Pravilniku ECE R 22.04),"Naredba stupa na snagu 21. 6. 2000. <br/>
Prestaje vaè?iti Naredba o obaveznoj homologaciji zaè≠titnih kaciga za vozaéçe bicikala s motorom i za putnike na tim vozilima (Narodne novine, br. 53/91).
",21.06.2000,,1,,
1582,1960,Naredba o homologaciji vozila s obzirom na raspored noè?nih ureé?aja za upravljanje (prema Pravilniku ECE R 35.00),"Naredba stupa na snagu 26. 2. 1999.. <br/>
Prestaje vaè?iti Naredba o obaveznoj homologaciji vozila è≠to se tiéçe rasporeda noè?nih ureé?aja za upravljanje (Narodne novine, br. 53/91).
",26.02.1999,,1,,
1589,1967,Naredba o homologaciji motornih vozila s najmanje éçetiri kotaéça u pogledu emisije buke (prema Pravilniku ECE R 51.01),"Naredba stupa na snagu 22. 5. 1998. <br/>
Prestaje vaè?iti Naredba o obveznoj homologaciji motornih vozila s najmanje éçetiri kotaéça u pogledu buke (Narodne novine, br. 53/91).
",22.05.1998,,1,,
1594,1975,Naredba o homologaciji posebne opreme motornih vozila koja upotrebljavaju ukapljeni naftni plin kao pogonsko gorivo (prema Pravilniku ECE R 67.00),Naredba stupa na snagu 16. 1. 2003.,16.01.2003,,1,,
1595,1976,Naredba o homologaciji ploéça za oznaéçivanje sporih vozila (prema Pravilniku ECE R 69.01),"Naredba stupa na snagu 26. 2. 1999.<br/>
Prestaje vaè?iti Naredba o obaveznoj homologaciji ploéça za oznaéçivanje sporih vozila (po konstrukciji) i njihovih prikolica koje se postavljaju na straè?nju stranu vozila i njihovih prikolica (Narodne novine, br. 53/91).
",26.02.1999,,1,,
1596,1977,Naredba o homologaciji straè?njih ploéça za oznaéçivanje teè≠kih i dugih vozila (prema Pravilniku ECE R 70.01),"Naredba stupa na snagu 26. 2. 1999. <br/>
Prestaje vaè?iti Naredba o obveznoj homologaciji ploéça za oznaéçivanje teè≠kih i dugih vozila koje se postavljaju na straè?nju stranu vozila (Narodne novine, br. 53/91).
",26.02.1999,,1,,
1601,1982,Naredba o homologaciji vozila kategorije L u pogledu koéçenja (prema Pravilniku ECE R 78.01),"Naredba stupa na snagu 22. 7. 1998. <br/>
Prestaje vaè?iti Naredba o obveznoj homologaciji bicikala s motorom i motocikala è≠to se tiéçe koéçenja (Narodne novine, br. 53/91).
",22.07.1998,,1,,
1617,2001,"Naredba o homologaciji glavnih svjetala za motorna vozila za asimetriéçni kratki svjetlosni snop i/ili dugi svjetlosni snop, sa è?aruljama sa è?arnom niti (prema Pravilniku ECE R 112.00)",Naredba stupa na snagu 4. 5. 2004.,04.05.2004,,1,,
1618,2002,"Naredba o homologaciji glavnih svjetala za motorna vozila za simetriéçni kratki svjetlosni snop i/ili dugi svjetlosni snop, sa è?aruljama sa è?arnom niti (prema Pravilniku ECE R 113.00)",Naredba stupa na snagu 1. 1. 2005.,01.01.2005,,1,,
1619,2004,( * djelomiéçno u primjeni) Pravilnik o postupku homologacije motornih vozila s obzirom na mjere za smanjenje oneéçiè≠é?enja emisijama iz motora TPV 102 (izdanje 00),"Pravlinik je prestao vaè?iti 2. I. 2013. na temelju odredbe éçl. 29. toéç. 1. Pravilnika o postupku homologaciji motornih vozila s obzirom na mjere za smanjenje oneéçiè≠é?enja emisijama iz motora TPV 102 (izdanje 01) (Nar. novine, 6/11 i 121/11), osim odredbi éçl. 8.<br/>",,,1,,
1628,2013,Pravilnik o postupku homologacije motornih i prikljuéçnih vozila s obzirom na koéçenje TPV 109 (izdanje 00),"Pravilnik stupa na snagu 24. 2. 2007. <br/>
Prestaju vaè?iti: <br/>
É?? Naredba o homologaciji motornih vozila kategorija M, N i O s obzirom na koéçenje (Narodne novine, br. 95/98) <br/>
É?? Naredba o homologaciji zamjenskih sklopova koéçnih obloga (Narodne novine, br. 69/98, 86/98) i <br/>
É?? Pravilnik o temeljnim zahtjevima za zamjenske sklopove koéçnih obloga (Narodne novine. br. 14/02).
",24.02.2007,,1,,
1640,2025,Pravilnik o tehniéçkim zahtjevima za motorna i prikljuéçna vozila s obzirom na proizvoé?aéçevu ploéçicu i oznake TPV 118 (izdanje 00),Pravilnik é?e se primjenjivati s 1. 7. 2013.,,,0,,
1649,2034,Pravilnik o postupku homologacije glavnih svjetala za dugi i/ili kratki svjetlosni snop za motorna vozila i izvore svjetlosti (è?arulje sa è?arnom niti i druge) za uporabu u homologiranim svjetlima motornih vozila i njihovih prikolica TPV 125 (izdanje 00),"Pravilnik é?e se primjenjivati 1. 7. 2013.<br/>
1. 7. 2013. prestaju vaè?iti: <br/>
1. Naredba o homologaciji glavnih svjetala za motorna vozila za asimetriéçni kratki i/ili dugi svjetlosni snop sa è?aruljama kategorije R2 i/ili HS1(Narodne novine, br. 147/98 i 64/99) <br/>
2. Naredba o homologaciji SB (Sealed Beam) glavnih svjetala za cestovna motorna vozila za europski asimetriéçni kratki i/ili dugi svjetlosni snop (Narodne novine, br. 147/98) <br/>
3. Naredba o homologaciji glavnih svjetala za cestovna motorna vozila, za asimetriéçni kratki i/ili dugi svjetlosni snop, halogenim è?aruljama H1, H2, H3, HB3, HB4, H1, H7, H8, H9, HIR1 i/ili HIR2 (Narodne novine, br. 147/98) <br/>
4. Naredba o homologaciji glavnih svjetala za cestovna motorna vozila, za asimetriéçni kratki i dugi svjetlosni snop ili obadva, s halogenim è?aruljama H4 (Narodne novine, br. 147/98) <br/>
5. Naredba o homologaciji glavnih svjetala koja sa svjetlosnim izvorom éçine nerastavljivu cjelinu (HSB SVJETLA) za motorna vozila s asimetriéçnim kratkim i/ili dugim svjetlosnim snopom (Narodne novine, br. 17/99) <br/>
6. Naredba o homologaciji è?arulja za uporabu u homologiranim svjetlima za motorna vozila i njihove prikolice (Narodne novine, br. 17/99) <br/>
7. Naredba o homologaciji glavnih svjetala za motorna vozila sa svjetlosnim izvorom s izbojem u plinu (Narodne novine, br. 17/99) <br/>
8. Naredba o homologaciji svjetlosnih izvora s izbojem u plinu za uporabu u homologiranim svjetlima s takvim svjetlosnim izvorima (Narodne novine, br. 17/99).
",,,0,,
1658,2043,Pravilnik o tehniéçkim zahtjevima i postupku homologacije motornih vozila kategorije M1 s obzirom na sustave za odmrzavanje i odmagljivanje ostakljenih povrè≠ina TPV 134 (izdanje 00),Pravilnik stupa na snagu 25. 1. 2007.,25.01.2007,,1,,
1671,2056,Pravilnik o postupku homologacije sigurnosnih stakala i materijala za stakla motornih vozila i njihovih prikolica i vozila s obzirom na ugradbu tih stakala TPV 145 (Izdanje 00),"Pravilnik stupa na snagu 1. 7. 2013.<br/>
Prestaje vaè?iti Naredba o homologaciji sigurnosnih stakala i gradiva za stakla namijenjenih za ugradbu na cestovna vozila (Narodne novine, br. 122/99).",01.07.2013,,1,,
1679,2064,"Pravilnik o postupku homologacije vozila za prijevoz putnika koja imaju osim vozaéçeva viè≠e od osam sjedala, s obzirom na posebne zahtjeve za takva vozila TPV 152 (izdanje 00)","Pravilnik stupa na snagu 1. 7. 2013. <br/>
Prestaju vaè?iti: <br/>
É?? Naredba o homologaciji velikih vozila za prijevoz putnika s obzirom na njihove opé?e konstrukcijske znaéçajke (Narodne novine, br. 4/03) i <br/>
É?? Naredba o homologaciji malih vozila za prijevoz putnika s obzirom na opé?e konstrukcijske znaéçajke?Æ (Narodne novine, br. 112/03).
",01.07.2013,,1,,
1680,2065,Pravilnik o postupku homologacije motornih vozila s obzirom na zaè≠titu putnika u sluéçaju éçelnog sudara TPV 153 (izdanje 00),Pravilnikstupa na snagu 1. 7. 2013.,01.07.2013,,1,,
1681,2066,Pravilnik o postupku homologacije vozila s obzirom na zaè≠titu putnika u sluéçaju boéçnog sudara TPV 154 (izdanje 00),Pravilnik stupa na snagu 25. 1. 2007.,25.01.2007,,1,,
1683,2068,Pravilnik o postupku homologacije motornih vozila s obzirom na zaè≠titu od prednjeg podlijetanja TPV 157 (izdanje 00),Stupa na snagu 1. 7. 2013.,01.07.2013,,1,,
1685,2070,Pravilnik o postupku homologacije motornih vozila na dva ili tri kotaéça s obzirom na sustave koéçenja TPV 201 (izdanje 01),Pravilnik stupa na snagu 20. 9. 2008.,20.09.2008,,1,,
1690,2075,Pravilnik o postupku homologacije motornih vozila na dva ili tri kotaéça s obzirom na zaè≠titu od neovlaè≠tene uporabe TPV 206 (izdanje 00),Pravilnik srtupa na snagu 1. 7. 2013.,01.07.2013,,1,,
1695,2080,Pravilnik o postupku homologacije motornih vozila na dva ili tri kotaéça s obzirom na mase i dimenzije TPV 209 (izdanje 01),Pravilnik stupa na snagu 9. 8. 2008.,09.08.2008,,1,,
1698,2083,"Pravilnik o postupku homologacije vozila na dva ili tri kotaéça s obzirom na najveé?u konstrukcijsku brzinu, najveé?i zakretni moment i najveé?u snagu motora TPV 211 (izdanje 01)",Pravilnik stupa na snagu 19. 4. 2008.,19.04.2008,,1,,
